year,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1953,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1954,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0
1955,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1956,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0
1957,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0
1958,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1960,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1961,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1962,0,0,0,2,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,2,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0
1963,0,0,1,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1
1964,0,0,1,32,0,0,0,2,2,27,0,1,0,0,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,1,0,36,0,0,0,0,0,0,0,1,0,21,1,0,0
1965,0,0,0,4,27,0,3,10,0,0,10,17,68,21,0,35,0,0,0,16,65,11,24,0,0,4,0,21,4,14,0,10,15,0,0,13,0,0,4,0,7,0,0,0,6,0,20,0
1966,0,5,0,1,0,0,0,0,23,0,0,0,0,2,0,0,0,0,0,0,25,0,0,0,8,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
1967,0,0,0,8,0,0,0,0,0,10,9,0,0,27,18,0,0,0,0,0,0,0,0,0,56,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,36,0,0
1968,0,0,28,0,0,0,0,14,0,0,8,12,16,0,5,0,0,0,0,0,6,0,0,0,0,0,0,7,0,0,21,0,33,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0
1969,2,0,36,38,15,0,0,0,0,0,25,0,87,20,11,5,0,0,0,0,74,27,0,0,0,1,0,0,0,1,0,46,26,0,0,4,0,0,26,6,0,0,2,27,0,4,21,0
1970,2,6,0,23,16,0,0,3,0,0,0,0,0,0,25,0,15,0,0,0,11,0,0,0,0,0,0,0,0,4,0,21,0,15,0,0,0,0,0,0,18,0,0,0,1,0,0,0
1971,0,0,0,1,0,0,0,6,0,0,0,0,0,0,8,21,0,9,0,0,0,23,0,0,28,0,0,21,0,13,0,0,0,7,2,7,0,0,0,3,15,0,0,0,7,0,0,0
1972,0,5,27,4,0,0,0,14,0,1,3,0,21,0,10,0,15,21,12,18,18,9,0,0,0,0,1,0,6,26,0,7,12,12,10,68,0,0,4,4,13,0,0,140,15,26,4,0
1973,40,0,48,6,33,0,0,13,15,0,52,0,26,117,5,37,3,0,1,14,0,52,130,3,15,0,10,4,11,14,9,0,10,51,5,10,0,0,0,65,22,0,14,0,0,0,34,0
1974,20,0,9,8,0,0,0,0,20,9,50,39,39,1,34,17,12,0,0,1,18,30,22,7,0,0,4,1,1,5,6,18,18,39,19,0,0,0,1,45,10,0,0,0,13,9,4,0
1975,51,0,8,0,0,0,0,14,2,0,1,0,0,0,22,19,0,14,0,33,18,9,4,14,2,0,0,13,0,16,0,28,4,12,0,30,0,0,1,46,2,0,0,0,12,2,4,0
1976,0,0,36,3,4,0,0,0,8,5,2,0,0,10,0,0,0,2,0,29,85,4,98,0,20,0,0,4,0,19,0,28,0,4,0,23,0,0,66,0,1,0,12,38,0,0,88,0
1977,76,11,0,48,42,0,0,35,151,10,0,40,3,10,15,42,1,16,0,56,0,72,13,7,2,5,0,10,9,18,95,0,47,1,19,29,0,31,0,12,0,27,1,125,34,35,10,4
1978,3,16,6,16,1,8,0,0,0,0,0,3,0,0,37,8,4,0,9,83,27,15,0,7,21,0,1,0,0,1,0,35,88,0,1,0,10,0,0,0,8,0,0,0,0,5,16,12
1979,48,0,8,2,0,1,0,14,3,1,53,18,13,2,1,13,0,5,0,0,11,57,19,1,0,1,1,0,11,0,1,42,0,6,3,0,0,0,0,14,26,0,0,2,11,0,3,1
1980,2,5,5,16,1,0,0,4,0,8,0,0,0,0,0,18,8,0,0,12,0,8,1,0,3,0,0,21,0,1,0,0,7,0,0,7,0,0,0,0,14,0,0,0,39,15,5,0
1981,2,0,0,0,0,0,0,0,0,0,4,0,0,2,1,0,0,0,1,0,0,0,0,10,0,2,0,0,0,0,0,0,4,6,2,5,0,0,0,0,10,0,0,0,0,0,0,0
1982,0,0,50,12,1,8,0,4,0,0,25,5,0,1,1,0,0,0,0,2,0,3,17,0,0,0,0,0,0,0,0,3,5,9,0,0,0,0,0,6,2,0,0,0,1,0,0,0
1983,4,14,5,46,0,0,0,0,0,3,14,0,0,0,0,29,0,0,0,0,0,32,0,0,0,1,0,0,3,0,0,0,0,19,0,0,0,0,0,0,9,22,0,0,1,0,0,0
1984,4,0,0,0,15,6,0,5,6,1,0,0,5,6,28,5,0,0,0,0,0,6,11,3,25,1,0,8,3,15,20,0,0,12,1,7,0,7,16,10,10,12,5,3,0,4,5,0
1985,2,2,0,8,0,8,0,39,0,0,23,0,0,0,0,14,0,0,13,21,0,4,0,0,0,0,0,4,5,6,0,0,6,0,0,23,5,0,2,0,0,0,0,52,1,29,0,1
1986,0,0,0,39,0,0,0,0,0,0,8,1,0,10,0,0,0,1,0,30,0,0,30,23,0,6,3,0,0,0,1,0,0,41,0,1,0,0,25,0,2,4,0,0,12,0,10,0
1987,0,0,12,3,0,0,0,0,0,0,3,0,4,0,0,10,14,0,8,0,10,1,0,0,0,0,8,0,0,14,0,0,4,16,5,0,0,0,1,0,12,0,0,0,0,0,0,1
1988,0,0,24,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,1,0,4,0,0,0,1,0,0,0
1989,2,0,0,12,1,2,0,0,0,0,5,0,0,0,90,61,4,1,0,0,8,0,0,0,0,0,0,0,0,0,42,6,13,0,0,0,0,24,0,0,105,1,5,1,4,0,0,0
1990,60,9,37,4,1,0,0,43,47,0,29,31,56,0,0,0,0,0,0,0,0,35,10,0,23,0,8,0,0,0,0,0,25,39,3,0,0,13,1,3,74,0,5,0,26,0,18,0
1991,12,0,21,34,0,6,0,0,15,0,0,99,60,6,19,53,15,0,18,0,12,72,0,0,7,0,5,0,0,14,0,0,0,6,0,0,5,0,0,31,70,0,0,0,17,0,5,0
1992,0,0,5,11,0,3,2,15,14,0,1,21,9,0,0,36,11,0,9,0,10,26,0,0,8,0,0,17,1,5,0,0,24,0,4,0,2,0,8,0,33,0,5,28,1,0,12,0
1993,67,17,0,33,0,8,4,38,101,0,39,6,114,57,73,9,28,24,14,0,57,0,137,0,65,0,10,21,4,63,60,39,0,48,5,67,5,0,39,57,152,0,4,137,7,55,47,0
1994,27,5,17,7,3,0,2,28,80,0,16,0,0,0,68,8,1,9,0,10,0,26,18,2,15,1,0,0,0,0,0,25,0,1,9,44,0,0,22,88,42,2,0,105,10,0,0,0
1995,43,2,0,99,0,0,0,25,51,0,19,0,0,0,32,12,0,0,1,0,15,4,62,0,0,0,0,0,0,1,15,32,11,48,1,0,0,0,74,5,1,0,6,24,0,3,0,0
1996,17,3,6,4,1,8,3,16,0,10,44,85,31,0,124,0,17,33,24,7,30,0,0,21,4,4,12,26,1,76,179,33,29,14,42,140,7,5,26,0,104,0,12,251,44,120,2,0
1997,3,0,53,48,13,0,0,0,0,30,7,13,13,0,101,3,0,0,0,5,133,4,0,23,39,7,0,1,0,0,0,106,18,0,14,0,0,0,143,35,21,0,5,0,58,16,4,0
1998,44,0,1,41,0,0,1,197,119,0,0,34,83,34,61,22,22,0,7,15,26,35,22,0,0,0,16,3,12,42,47,16,23,3,1,7,0,1,9,84,336,0,17,5,6,21,5,0
1999,12,4,22,18,12,3,1,124,8,0,53,57,38,3,0,23,7,11,1,32,16,34,6,1,3,5,3,30,8,36,149,46,0,19,0,15,0,54,2,75,256,1,10,68,0,0,10,2
2000,16,8,119,1,4,0,0,13,57,16,0,0,0,3,27,19,8,15,0,2,23,0,11,61,0,3,0,23,60,92,33,52,9,53,0,0,0,38,6,15,19,0,6,109,2,26,30,5
2001,28,0,22,0,15,0,0,71,0,0,37,29,23,1,26,35,19,0,14,39,72,84,0,5,29,1,7,21,2,68,0,38,4,116,2,3,0,1,24,8,79,0,11,18,32,38,46,3
2002,31,10,20,14,80,0,0,0,0,0,68,63,21,35,76,60,0,3,0,6,20,17,122,6,0,4,0,1,10,7,44,7,20,45,13,0,0,1,3,59,70,1,5,26,2,8,27,4
2003,38,7,41,22,33,8,7,12,0,0,16,67,0,15,119,41,12,44,14,14,0,40,76,10,19,4,7,26,1,140,59,1,69,42,5,52,2,6,1,103,72,1,4,145,18,113,0,1
2004,67,3,28,25,2,7,1,112,111,0,4,89,77,31,105,38,25,0,17,26,7,44,37,0,39,6,8,6,5,93,64,32,127,0,32,141,0,59,10,15,0,0,7,26,5,50,44,0
2005,119,31,75,82,66,21,3,102,159,46,118,231,99,151,152,132,55,24,40,83,87,53,115,56,104,56,35,30,33,83,147,103,176,78,37,78,10,46,102,95,763,41,0,134,42,61,73,1
2006,0,4,7,57,4,5,1,1,0,1,32,3,0,19,0,24,2,3,3,0,18,0,71,4,32,16,7,4,23,38,0,16,9,79,26,28,0,7,7,15,256,0,0,42,15,0,0,2
2007,8,0,0,32,27,7,0,6,16,4,29,50,114,214,9,3,18,0,8,0,9,0,234,4,99,5,10,15,4,22,0,16,8,349,24,8,1,0,29,0,121,5,13,0,22,18,14,1
2008,71,1,121,30,3,0,0,74,21,2,51,109,30,123,73,68,16,0,9,12,6,109,218,4,79,1,21,0,2,16,4,0,53,80,0,0,0,0,53,19,403,0,12,0,2,18,42,0
2009,47,3,159,11,0,0,0,0,70,0,17,37,1,69,102,11,16,0,7,0,37,11,189,1,7,1,10,3,1,17,0,52,0,28,13,0,0,0,16,21,16,0,2,12,38,11,0,0
2010,3,9,25,7,2,5,3,0,0,8,0,0,117,92,0,0,7,34,14,0,99,18,37,3,163,1,8,30,7,12,58,88,0,204,0,27,10,0,108,10,46,0,3,88,2,49,12,3
2011,67,4,3,3,4,24,5,1,31,6,0,36,20,35,7,56,7,45,17,0,52,68,216,56,47,3,24,44,30,65,92,31,21,145,9,108,11,0,40,103,187,22,21,96,0,0,11,16
2012,11,0,0,5,9,8,6,0,0,2,0,6,0,14,0,34,0,54,14,0,18,83,0,9,3,1,17,24,5,62,0,0,127,15,12,68,5,0,2,10,1,7,3,234,10,189,4,6
2013,0,3,25,6,22,18,0,0,0,1,15,0,86,69,0,11,6,0,4,16,23,7,46,17,10,1,11,0,2,0,21,52,2,38,6,29,0,0,22,0,1,1,7,0,4,2,8,0
2014,0,1,14,16,0,0,0,0,136,0,0,30,60,0,0,0,0,4,0,0,0,0,20,21,30,0,0,0,0,0,9,10,0,4,10,7,0,68,13,33,0,1,7,0,13,9,0,0
2015,0,0,0,3,0,0,0,0,16,8,0,0,19,44,0,0,0,0,0,0,0,1,76,0,0,0,3,0,0,0,0,0,0,2,5,0,0,47,14,0,0,0,10,0,15,67,0,4
2016,0,1,38,1,3,0,1,28,30,4,0,0,27,16,4,7,0,0,0,1,0,0,74,5,0,0,1,0,3,0,67,0,0,1,2,23,0,49,0,5,0,1,0,0,0,0,0,1
2017,108,2,0,0,0,0,0,70,162,0,0,0,0,8,0,12,0,0,0,4,0,6,0,3,10,1,0,0,0,0,0,0,0,0,0,0,0,47,27,0,0,2,0,0,0,0,0,1
2018,18,0,0,0,0,0,0,35,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,101,0,0,3,0,0,0,47,1,0,3,2,0,134,1,0,0,0
2019,0,0,16,0,0,0,0,73,12,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,11,0,0,0,47,0,0,0,0,0,0,0,0,0,0
2020,0,0,75,0,1,0,0,13,0,0,0,0,0,0,0,192,0,0,0,2,0,13,0,0,0,0,0,0,0,0,101,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,64,0,0,0,0,0,83,0,0,0,0,0,21,0,40,0,0,0,77,0,0,0,0,0,1,254,0,0,0,0,0,0,0
